state_abbr,year,state,expanded_medicaid,expansion_year,trump_2024,fips_state,total_plan_selections,avg_monthly_premium,avg_premium_after_aptc,pct_with_aptc,medicaid_chip_enrollment,uninsured_rate,total_population,total_uninsured,marketplace_yoy_change,marketplace_yoy_pct,growth_since_2020_pct
MT,2024,Montana,True,2016.0,True,30,66336.0,604.0,162.0,87.7,216770.0,8.75,1121105.0,98102.0,12476.0,23.2,51.4
MT,2025,Montana,True,2016.0,True,30,77221.0,634.0,151.0,89.0,210444.0,,,,10885.0,16.4,76.2
MT,2026,Montana,True,2016.0,True,30,73255.0,729.0,230.0,77.7,,,,,-3966.0,-5.1,67.2
NC,2020,North Carolina,True,2023.0,True,37,505275.0,660.0,116.0,89.7,2054635.0,,,,,,0.0
NC,2021,North Carolina,True,2023.0,True,37,535803.0,633.0,125.0,89.6,2241778.0,10.42,10345935.0,1078109.0,30528.0,6.0,6.0
NC,2022,North Carolina,True,2023.0,True,37,670223.0,637.0,96.0,93.4,2401986.0,9.28,10480843.0,973095.0,134420.0,25.1,32.6
NC,2023,North Carolina,True,2023.0,True,37,800850.0,643.0,92.0,94.4,2655404.0,9.23,10623208.0,980623.0,130627.0,19.5,58.5
NC,2024,North Carolina,True,2023.0,True,37,1027930.0,609.0,77.0,95.4,2845108.0,8.56,10837928.0,927893.0,227080.0,28.4,103.4
NC,2025,North Carolina,True,2023.0,True,37,975110.0,637.0,97.0,94.3,2860490.0,,,,-52820.0,-5.1,93.0
NC,2026,North Carolina,True,2023.0,True,37,761457.0,755.0,180.0,87.1,,,,,-213653.0,-21.9,50.7
ND,2020,North Dakota,True,2014.0,True,38,21666.0,453.0,184.0,83.0,107199.0,,,,,,0.0
